Sample;Sample_ID;Grain_ID;206Pb_238U;206Pb_238U_err_1s;207Pb_235U;207Pb_235U_err_1s;RHO;75Age;75Age_err;68Age;68Age_err_2s;BestAge;BestAge_err;Disc
300349_62;300349;62;0,01;0,00;0,07;0,00;0,62;64,74;5,02;55,83;2,78;55,83;2,78;0,14
300349_63;300349;63;0,01;0,00;0,04;0,00;0,20;39,49;6,44;38,38;1,26;38,38;1,26;0,03
300349_64;300349;64;0,01;0,00;0,04;0,00;0,90;42,47;1,20;41,63;1,08;41,63;1,08;0,02
300349_65;300349;65;0,01;0,00;0,05;0,00;0,86;51,82;2,44;49,18;2,05;49,18;2,05;0,05
300349_66;300349;66;0,01;0,00;0,08;0,01;0,26;79,01;10,47;39,31;1,42;39,31;1,42;0,50
300349_67;300349;67;0,01;0,00;0,05;0,00;0,27;51,46;5,08;38,41;1,06;38,41;1,06;0,25
300349_68;300349;68;0,01;0,00;0,04;0,00;0,51;38,54;1,61;37,37;0,80;37,37;0,80;0,03
300349_69;300349;69;0,01;0,00;0,05;0,00;0,20;50,99;4,69;42,99;0,82;42,99;0,82;0,16
300349_70;300349;70;0,01;0,00;0,05;0,00;0,52;46,03;2,77;41,99;1,34;41,99;1,34;0,09
300349_71;300349;71;0,01;0,00;0,07;0,00;0,23;70,07;8,75;38,82;1,15;38,82;1,15;0,45
300349_72;300349;72;0,01;0,00;0,05;0,00;0,50;45,40;1,74;42,00;0,83;42,00;0,83;0,07
300349_73;300349;73;0,01;0,00;0,06;0,00;0,72;57,86;3,73;52,39;2,49;52,39;2,49;0,09
300349_74;300349;74;0,01;0,00;0,05;0,00;0,84;51,66;1,74;49,67;1,44;49,67;1,44;0,04
300349_75;300349;75;0,01;0,00;0,05;0,00;0,22;52,60;3,60;46,08;0,72;46,08;0,72;0,12
300349_76;300349;76;0,01;0,00;0,06;0,00;0,77;55,18;1,90;51,73;1,41;51,73;1,41;0,06
300349_77;300349;77;0,01;0,00;0,06;0,00;0,50;57,80;5,52;45,13;2,20;45,13;2,20;0,22
300349_78;300349;78;0,01;0,00;0,05;0,00;0,18;50,54;6,58;38,55;0,92;38,55;0,92;0,24
300349_79;300349;79;0,01;0,00;0,10;0,06;0,19;97,15;111,86;51,57;11,23;51,57;11,23;0,47
300349_80;300349;80;0,01;0,00;0,06;0,00;0,48;61,75;5,17;52,88;2,20;52,88;2,20;0,14
300349_81;300349;81;0,01;0,00;0,06;0,00;0,52;57,06;2,32;54,11;1,18;54,11;1,18;0,05
300349_82;300349;82;0,01;0,00;0,06;0,00;0,63;56,06;2,29;51,72;1,35;51,72;1,35;0,08
300349_83;300349;83;0,01;0,00;0,60;0,08;0,68;476,10;101,70;78,28;14,52;78,28;14,52;0,84
300349_83Rim;300349;83Rim;0,01;0,00;0,06;0,01;0,11;59,51;11,14;40,75;0,82;40,75;0,82;0,32
300349_84;300349;84;0,01;0,00;0,05;0,00;0,56;47,37;2,26;45,11;1,24;45,11;1,24;0,05
300349_85;300349;85;0,01;0,00;0,05;0,00;0,13;51,70;9,52;38,75;0,93;38,75;0,93;0,25
300349_86;300349;86;0,01;0,00;0,08;0,01;0,20;73,59;10,82;38,79;1,18;38,79;1,18;0,47
300349_87;300349;87;0,01;0,00;0,05;0,00;0,69;51,73;3,71;40,76;2,05;40,76;2,05;0,21
300349_88;300349;88;0,01;0,00;0,17;0,04;0,45;156,80;70,06;55,43;12,10;55,43;12,10;0,65
300349_89;300349;89;0,01;0,00;0,08;0,01;0,07;73,51;11,50;38,50;0,43;38,50;0,43;0,48
300351_01;300351;01;0,01;0,00;0,05;0,00;0,25;52,80;1,91;47,25;0,44;47,25;0,44;0,11
300351_02;300351;02;0,01;0,00;0,05;0,00;0,23;54,34;2,09;47,64;0,44;47,64;0,44;0,12
300351_03;300351;03;0,01;0,00;0,06;0,00;0,18;58,80;3,88;47,37;0,59;47,37;0,59;0,19
300351_04;300351;04;0,01;0,00;0,08;0,01;0,13;77,83;14,38;49,92;1,24;49,92;1,24;0,36
300351_05;300351;05;0,01;0,00;0,17;0,02;0,17;155,25;40,58;55,05;2,70;55,05;2,70;0,65
300351_06;300351;06;0,01;0,00;0,08;0,01;0,11;73,59;13,07;47,75;0,97;47,75;0,97;0,35
300351_07;300351;07;0,01;0,00;0,06;0,00;0,37;55,97;1,49;47,00;0,47;47,00;0,47;0,16
300351_08;300351;08;0,01;0,00;0,05;0,00;0,65;50,03;0,90;46,58;0,55;46,58;0,55;0,07
300351_09;300351;09;0,01;0,00;0,06;0,01;0,92;63,23;15,50;49,59;11,48;49,59;11,48;0,22
300351_10;300351;10;0,01;0,00;0,05;0,00;0,27;51,25;1,87;45,94;0,47;45,94;0,47;0,10
300351_11;300351;11;0,01;0,00;0,05;0,00;0,21;50,15;1,57;46,78;0,31;46,78;0,31;0,07
300351_12;300351;12;0,01;0,00;0,06;0,00;0,15;63,91;3,89;47,94;0,45;47,94;0,45;0,25
300351_13;300351;13;0,01;0,00;0,07;0,01;0,07;69,34;11,66;46,81;0,59;46,81;0,59;0,32
300351_14;300351;14;0,01;0,00;0,06;0,00;0,25;62,97;2,15;47,00;0,40;47,00;0,40;0,25
300351_15;300351;15;0,01;0,00;0,05;0,00;0,40;49,74;1,56;46,49;0,60;46,49;0,60;0,07
300351_16;300351;16;0,01;0,00;0,05;0,00;0,18;50,01;1,47;46,24;0,25;46,24;0,25;0,08
300351_17;300351;17;0,05;0,00;0,34;0,00;0,76;298,07;5,03;284,28;4,13;284,28;4,13;0,05
300351_17B;300351;17B;0,05;0,00;0,35;0,00;0,45;307,27;6,54;286,39;3,15;286,39;3,15;0,07
300351_18;300351;18;0,01;0,00;0,06;0,00;0,14;57,36;6,08;45,99;0,67;45,99;0,67;0,20
300351_19;300351;19;0,01;0,00;0,05;0,00;0,20;49,72;2,79;44,81;0,50;44,81;0,50;0,10
300351_20;300351;20;0,01;0,00;0,05;0,00;0,37;52,48;1,12;50,47;0,41;50,47;0,41;0,04
300351_21;300351;21;0,01;0,00;0,05;0,00;0,42;48,78;0,91;46,42;0,37;46,42;0,37;0,05
300351_22;300351;22;0,01;0,00;0,06;0,00;0,13;61,75;5,30;49,84;0,59;49,84;0,59;0,19
300351_23;300351;23;0,01;0,00;0,06;0,00;0,09;60,82;9,05;46,12;0,62;46,12;0,62;0,24
300351_24;300351;24;0,01;0,00;0,05;0,00;0,19;53,70;3,58;46,28;0,59;46,28;0,59;0,14
300351_25;300351;25;0,01;0,00;0,16;0,01;0,25;148,86;25,00;48,04;2,16;48,04;2,16;0,68
300351_26;300351;26;0,01;0,00;0,05;0,00;0,34;48,34;1,52;45,81;0,50;45,81;0,50;0,05
300351_27;300351;27;0,01;0,00;0,05;0,00;0,17;50,58;2,33;45,48;0,37;45,48;0,37;0,10
300351_28;300351;28;0,01;0,00;0,06;0,00;0,17;59,39;3,50;48,91;0,49;48,91;0,49;0,18
300351_29;300351;29;0,01;0,00;0,05;0,00;0,23;49,66;1,66;46,42;0,36;46,42;0,36;0,07
300351_30;300351;30;0,01;0,00;0,09;0,00;0,18;90,26;9,15;55,98;1,05;55,98;1,05;0,38
300351_31;300351;31;0,01;0,00;0,05;0,00;0,18;52,09;2,27;47,35;0,37;47,35;0,37;0,09
300351_32;300351;32;0,01;0,00;0,05;0,00;0,19;49,53;2,14;45,69;0,39;45,69;0,39;0,08
300351_33;300351;33;0,01;0,00;0,09;0,00;0,23;83,04;5,98;49,32;0,85;49,32;0,85;0,41
300351_34;300351;34;0,01;0,00;0,06;0,00;0,21;55,64;2,00;47,44;0,37;47,44;0,37;0,15
300351_35;300351;35;0,01;0,00;0,05;0,00;0,28;50,86;1,89;46,78;0,50;46,78;0,50;0,08
300351_36;300351;36;0,01;0,00;0,05;0,00;0,60;49,80;0,71;48,24;0,42;48,24;0,42;0,03
300351_37;300351;37;0,01;0,00;0,05;0,00;0,16;53,54;4,11;47,10;0,59;47,10;0,59;0,12
300351_38;300351;38;0,01;0,00;0,06;0,00;0,14;58,87;4,34;47,40;0,50;47,40;0,50;0,19
300351_39;300351;39;0,01;0,00;0,05;0,00;0,23;48,96;1,64;45,81;0,36;45,81;0,36;0,06
300351_40;300351;40;0,01;0,00;0,07;0,01;0,11;72,33;19,49;43,05;1,34;43,05;1,34;0,40
300351_41;300351;41;0,01;0,00;0,05;0,00;0,62;48,79;0,77;47,40;0,47;47,40;0,47;0,03
300351_42;300351;42;0,01;0,00;0,05;0,00;0,21;48,09;2,20;45,27;0,45;45,27;0,45;0,06
300351_43;300351;43;0,01;0,00;0,05;0,00;0,25;49,79;1,79;47,06;0,44;47,06;0,44;0,05
300351_44;300351;44;0,01;0,00;0,05;0,00;0,46;46,64;0,95;45,13;0,43;45,13;0,43;0,03
300351_45;300351;45;0,01;0,00;0,05;0,00;0,35;48,09;1,41;45,78;0,48;45,78;0,48;0,05
300351_46;300351;46;0,01;0,00;0,05;0,00;0,50;48,07;0,83;45,54;0,40;45,54;0,40;0,05
300351_47;300351;47;0,01;0,00;0,08;0,01;0,17;76,33;10,22;47,45;1,11;47,45;1,11;0,38
300351_48;300351;48;0,01;0,00;0,05;0,00;0,33;48,04;1,26;46,22;0,40;46,22;0,40;0,04
300351_49;300351;49;0,01;0,00;0,05;0,00;0,23;52,46;2,68;46,81;0,55;46,81;0,55;0,11
300351B_01;300351;01B;0,06;0,00;0,42;0,02;1,00;359,35;27,40;367,02;32,43;367,02;32,43;-0,02
300351B_01B;300351;01BB;0,05;0,00;0,39;0,01;0,95;334,24;7,74;323,88;8,18;323,88;8,18;0,03
300351B_02;300351;02B;0,01;0,00;0,05;0,00;0,55;52,79;2,11;48,85;1,09;48,85;1,09;0,07
300351B_03;300351;03B;0,01;0,00;0,05;0,00;0,64;51,58;1,58;49,46;0,99;49,46;0,99;0,04
300351B_04;300351;04B;0,01;0,00;0,05;0,00;0,47;50,58;1,95;48,15;0,90;48,15;0,90;0,05
300351B_05;300351;05B;0,01;0,00;0,05;0,00;0,64;49,88;1,73;47,91;1,09;47,91;1,09;0,04
300351B_06;300351;06B;0,01;0,00;0,06;0,00;0,27;61,13;5,76;50,23;1,29;50,23;1,29;0,18
300351B_07;300351;07B;0,01;0,00;0,05;0,00;0,75;50,62;1,74;48,91;1,29;48,91;1,29;0,03
300351B_08;300351;08B;0,01;0,00;0,05;0,00;0,28;52,88;2,84;48,86;0,74;48,86;0,74;0,08
300351B_09;300351;09B;0,01;0,00;0,05;0,00;0,52;52,22;2,11;49,65;1,08;49,65;1,08;0,05
300351B_10;300351;10B;0,01;0,00;0,05;0,00;0,23;53,31;4,01;48,19;0,85;48,19;0,85;0,10
300352_01;300352;01;0,01;0,00;0,05;0,00;0,45;51,06;3,92;45,98;1,63;45,98;1,63;0,10
300352_02;300352;02;0,01;0,00;0,05;0,00;0,78;47,69;1,77;46,02;1,36;46,02;1,36;0,03
300352_03;300352;03;0,01;0,00;0,05;0,00;0,67;49,55;2,52;46,00;1,59;46,00;1,59;0,07
300352_04;300352;04;0,01;0,00;0,05;0,00;0,64;47,31;2,00;46,36;1,27;46,36;1,27;0,02
300352_05;300352;05;0,01;0,00;0,06;0,00;0,52;60,52;3,48;58,96;1,81;58,96;1,81;0,03
300352_06;300352;06;0,01;0,00;0,05;0,00;0,73;49,80;2,97;48,26;2,16;48,26;2,16;0,03
300352_07;300352;07;0,01;0,00;0,05;0,00;0,70;48,23;1,87;45,76;1,27;45,76;1,27;0,05
300352_08;300352;08;0,01;0,00;0,04;0,00;0,53;44,67;2,47;43,30;1,29;43,30;1,29;0,03
300352_09;300352;09;0,01;0,00;0,05;0,00;0,19;52,07;7,07;44,30;1,14;44,30;1,14;0,15
300352_10;300352;10;0,01;0,00;0,05;0,00;0,47;47,37;2,84;44,55;1,29;44,55;1,29;0,06
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
